Time_Step,Z17.5_Concentration,Z2.5_Concentration
525,0.0325,0.1175
526,0.035,0.1325
527,0.03,0.115
528,0.0475,0.12
529,0.035,0.1075
530,0.0475,0.125
531,0.04,0.12
532,0.0575,0.14
533,0.05,0.095
534,0.0325,0.0925
535,0.0375,0.12
536,0.03,0.13
537,0.0275,0.0975
538,0.04,0.1175
539,0.0225,0.125
540,0.0225,0.1525
541,0.0375,0.125
542,0.05,0.1375
543,0.035,0.115
544,0.0275,0.11
545,0.0425,0.1125
546,0.04,0.105
547,0.025,0.1075
548,0.0375,0.13
549,0.0325,0.1075
550,0.0425,0.14
551,0.0325,0.1225
552,0.0475,0.12
553,0.0475,0.1325
554,0.04,0.1375
555,0.045,0.145
556,0.04,0.1325
557,0.0325,0.1275
558,0.045,0.1325
559,0.0425,0.14
560,0.0475,0.1175
561,0.0425,0.15
562,0.0375,0.13
563,0.03,0.1175
564,0.0325,0.11
565,0.0225,0.1
566,0.045,0.09
567,0.0275,0.105
568,0.035,0.105
569,0.03,0.15
570,0.05,0.1475
571,0.0475,0.1375
572,0.0275,0.1475
573,0.0325,0.1275
574,0.0375,0.125
575,0.0325,0.1375
576,0.0275,0.14
577,0.03,0.1425
578,0.035,0.1375
579,0.0375,0.11
580,0.0375,0.1325
581,0.03,0.13
582,0.0425,0.12
583,0.0325,0.125
584,0.035,0.12
585,0.0275,0.145
586,0.035,0.145
587,0.0325,0.135
588,0.055,0.12
589,0.0325,0.145
590,0.04,0.135
591,0.04,0.1175
592,0.0375,0.1525
593,0.0375,0.1225
594,0.0425,0.11
595,0.0425,0.085
596,0.045,0.1175
597,0.0475,0.12
598,0.045,0.17
599,0.055,0.1325
600,0.06,0.1425
601,0.0325,0.1225
602,0.055,0.14
603,0.0575,0.13
604,0.0375,0.14
605,0.0475,0.1325
606,0.04,0.15
607,0.06,0.1625
608,0.0525,0.1275
609,0.035,0.185
610,0.045,0.1175
611,0.04,0.125
612,0.045,0.14
613,0.0325,0.14
614,0.03,0.125
615,0.02,0.1375
616,0.035,0.1625
617,0.025,0.1375
618,0.0325,0.155
619,0.03,0.1475
620,0.035,0.1325
621,0.045,0.1325
622,0.0325,0.13
623,0.04,0.115
624,0.0475,0.0975
625,0.035,0.1175
626,0.0675,0.12
627,0.0425,0.1625
628,0.035,0.15
629,0.03,0.1275
630,0.045,0.1075
631,0.0425,0.1075
632,0.0425,0.15
633,0.045,0.1525
634,0.05,0.1525
635,0.05,0.115
636,0.06,0.1525
637,0.055,0.12
638,0.035,0.125
639,0.05,0.115
640,0.055,0.1075
641,0.0275,0.13
642,0.055,0.1525
643,0.0475,0.1075
644,0.05,0.105
645,0.0575,0.1075
646,0.04,0.145
647,0.035,0.12
648,0.045,0.145
649,0.0575,0.1475
650,0.0525,0.1475
651,0.0375,0.1625
652,0.05,0.1425
653,0.045,0.1475
654,0.04,0.115
655,0.0625,0.1325
656,0.05,0.1325
657,0.055,0.13
658,0.045,0.12
659,0.045,0.14
660,0.035,0.135
661,0.035,0.1475
662,0.0375,0.145
663,0.0375,0.1125
664,0.0375,0.1125
665,0.045,0.095
666,0.06,0.1175
667,0.065,0.095
668,0.03,0.0975
669,0.0475,0.115
670,0.04,0.1125
671,0.055,0.1375
672,0.065,0.1625
673,0.05,0.15
674,0.045,0.1225
675,0.0725,0.1425
676,0.0425,0.135
677,0.05,0.1375
678,0.055,0.1275
679,0.0425,0.105
680,0.045,0.0925
681,0.0525,0.1075
682,0.06,0.1925
683,0.06,0.1175
684,0.035,0.12
685,0.0475,0.15
686,0.0325,0.125
687,0.06,0.115
688,0.0475,0.1575
689,0.06,0.135
690,0.0525,0.165
691,0.0475,0.115
692,0.045,0.11
693,0.07,0.115
694,0.0725,0.13
695,0.0675,0.1475
696,0.03,0.1225
697,0.0525,0.1125
698,0.06,0.1525
699,0.055,0.155
700,0.065,0.1275
701,0.0525,0.125
702,0.0525,0.1425
703,0.0625,0.1025
704,0.085,0.1125
705,0.0475,0.1175
706,0.0325,0.145
